country,country_name,rank,isi_composite,max_axis,max_axis_score,second_max_axis,second_max_score,profile_type,axis_mean,axis_std,spike_threshold,spike_k
MT,Malta,1,0.51748148,defense,1.0,logistics,1.0,single-spike,0.5174814833333333,0.3524073811291393,0.8698888644624726,1.0
CY,Cyprus,2,0.46821264,logistics,0.94106062,defense,0.74847998,single-spike,0.468212645,0.2876741861647376,0.7558868311647375,1.0
IE,Ireland,3,0.42802519,logistics,0.61373023,technology,0.58695939,single-spike,0.42802518500000003,0.16087818572410398,0.588903370724104,1.0
DK,Denmark,4,0.42442738,defense,0.72368274,logistics,0.64230809,single-spike,0.42442738333333335,0.22540711598815152,0.6498344993214848,1.0
HR,Croatia,5,0.40434768,defense,0.74648317,critical_inputs,0.52392772,single-spike,0.4043476783333333,0.18569542562717473,0.5900431039605081,1.0
FI,Finland,6,0.40205136,logistics,0.79733123,critical_inputs,0.54699996,single-spike,0.40205135666666664,0.22415287621593197,0.6262042328825986,1.0
SE,Sweden,7,0.39871532,defense,0.88107943,logistics,0.75512656,single-spike,0.3987153233333333,0.3067985590915432,0.7055138824248766,1.0
AT,Austria,8,0.38249806,defense,0.58506379,logistics,0.52592111,single-spike,0.382498065,0.15298864472099116,0.5354867097209912,1.0
IT,Italy,9,0.37386086,defense,0.92057651,logistics,0.47781001,single-spike,0.373860865,0.2678214809163349,0.6416823459163349,1.0
SI,Slovenia,10,0.36979186,defense,0.66661871,logistics,0.44714621,single-spike,0.36979186166666667,0.17313982356751315,0.5429316852341798,1.0
EL,Greece,11,0.3653735,logistics,0.71982808,defense,0.55148593,single-spike,0.36537349666666663,0.20407734063338043,0.5694508373000471,1.0
LU,Luxembourg,12,0.36016893,defense,0.64483831,logistics,0.61858285,single-spike,0.36016892833333336,0.20515136894047464,0.5653202972738081,1.0
EE,Estonia,13,0.34332177,logistics,0.46987927,energy,0.43935251,single-spike,0.3433217716666666,0.10554973634232558,0.44887150800899217,1.0
BG,Bulgaria,14,0.34027984,defense,0.86064518,logistics,0.36290606,single-spike,0.34027983500000003,0.2503738237734712,0.5906536587734712,1.0
NL,Netherlands,15,0.33515702,defense,0.95955396,logistics,0.3549193,single-spike,0.33515702166666667,0.2950668997870318,0.6302239214536984,1.0
HU,Hungary,16,0.32966227,defense,0.54471981,logistics,0.46578765,single-spike,0.3296622716666667,0.14774740224613894,0.47740967391280564,1.0
PT,Portugal,17,0.3217343,logistics,0.50778629,defense,0.43376254,single-spike,0.3217343033333333,0.11998976174395055,0.44172406507728385,1.0
RO,Romania,18,0.31864192,defense,0.56353195,energy,0.40546401,single-spike,0.31864191999999997,0.1346044261701759,0.4532463461701759,1.0
CZ,Czechia,19,0.3179663,logistics,0.529481,defense,0.48413737,single-spike,0.3179663033333333,0.15341783228676426,0.47138413562009757,1.0
PL,Poland,20,0.29561321,logistics,0.48860717,defense,0.44326493,single-spike,0.29561321333333335,0.1363545829835165,0.43196779631684984,1.0
BE,Belgium,21,0.28796781,defense,0.44734854,logistics,0.35205038,single-spike,0.287967805,0.10113576263478542,0.38910356763478543,1.0
DE,Germany,22,0.26788694,defense,0.58266751,energy,0.3290879,single-spike,0.26788694166666666,0.16401905500900898,0.43190599667567564,1.0
LT,Lithuania,23,0.2654052,defense,0.40227798,logistics,0.34689716,single-spike,0.265405205,0.10544602289401384,0.3708512278940138,1.0
ES,Spain,24,0.26093977,logistics,0.43235135,defense,0.38088569,single-spike,0.2609397683333333,0.11937713004096087,0.38031689837429417,1.0
LV,Latvia,25,0.24695137,logistics,0.36822299,energy,0.36522282,single-spike,0.2469513733333333,0.1117698620170777,0.358721235350411,1.0
SK,Slovakia,26,0.23641567,logistics,0.48550648,energy,0.3999546,single-spike,0.23641566833333336,0.1619241217691991,0.39833979010253245,1.0
FR,France,27,0.23567126,defense,0.37034617,logistics,0.35293643,single-spike,0.23567125833333336,0.11143254780938504,0.3471038061427184,1.0
