parser,stage,count
BIS_LBS,total_rows_read,4408
BIS_LBS,rows_written,3539
BIS_LBS,filter_integrity_fail,0
BIS_LBS,aggregate_code_excluded,331
BIS_LBS,self_pair_excluded,0
BIS_LBS,missing_or_non_numeric,534
BIS_LBS,negative_value,3
BIS_LBS,zero_value_dropped,1
BIS_LBS,total_excluded,869
CPIS,total_rows_read,3121680
CPIS,rows_written,5646
CPIS,accounting_entry_mismatch,264045
CPIS,instr_asset_mismatch,1170136
CPIS,indicator_mismatch,1068011
CPIS,frequency_mismatch,311433
CPIS,flow_stock_mismatch,0
CPIS,sector_mismatch,233509
CPIS,counterpart_sector_mismatch,54388
CPIS,series_code_parse_error,0
CPIS,aggregate_or_residual_counterparty,762
CPIS,self_pair,1
CPIS,missing_or_non_numeric_value,6537
CPIS,negative_value,15
CPIS,zero_value_dropped,7197
CPIS,total_excluded,3116034
