DECLARANT_ISO,PARTNER_ISO,PRODUCT_NC,FLOW,PERIOD,VALUE_IN_EUROS
AT,AE,25041000,1,2022,16413
AT,AU,26151000,1,2022,13
AT,BE,25041000,1,2022,68580
AT,BE,25101000,1,2022,30838
AT,BE,25102000,1,2022,5118658
AT,BE,26020000,1,2022,265
AT,BE,28042910,1,2022,13463
AT,BE,28045090,1,2022,18
AT,BE,28046100,1,2022,41
AT,BE,28046900,1,2022,12898
AT,BE,28053080,1,2022,106
AT,BE,28209090,1,2022,36448
AT,BE,28220000,1,2022,62
AT,BE,28252000,1,2022,937254
AT,BE,28369100,1,2022,2952088
AT,BE,28469090,1,2022,62
AT,BE,28499050,1,2022,1699
AT,BE,31042010,1,2022,140
AT,BE,31042050,1,2022,72381
AT,BE,31042090,1,2022,166
AT,BE,31043000,1,2022,333404
AT,BE,75021000,1,2022,284061
AT,BE,81052000,1,2022,4272328
AT,BE,81129281,1,2022,129
AT,BR,25041000,1,2022,390636
AT,BR,25049000,1,2022,67
AT,CA,25041000,1,2022,300
AT,CA,25102000,1,2022,674
AT,CA,28046900,1,2022,1389
AT,CA,31043000,1,2022,10839
AT,CA,81082000,1,2022,36139
AT,CH,28046900,1,2022,11938
AT,CH,28369100,1,2022,15272
AT,CH,28499030,1,2022,1632381
AT,CH,75011000,1,2022,66
AT,CH,75021000,1,2022,131840
AT,CH,81082000,1,2022,79
AT,CN,25041000,1,2022,2947390
AT,CN,25049000,1,2022,34601
AT,CN,25101000,1,2022,24
AT,CN,25102000,1,2022,416
AT,CN,28046100,1,2022,88369
AT,CN,28053040,1,2022,35869
AT,CN,28209090,1,2022,141
AT,CN,28256000,1,2022,448007
AT,CN,28469090,1,2022,13
AT,CN,28499030,1,2022,23295
AT,CN,75011000,1,2022,1475
AT,CN,81021000,1,2022,231971
AT,CN,81052000,1,2022,28800
AT,CN,81082000,1,2022,91946
AT,CN,81129281,1,2022,607
AT,CN,81129295,1,2022,50
AT,CY,25101000,1,2022,3418
