reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,ZA,6806742380.371,2022,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,ZA,4092906125.213,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,CN,1302061510.057,2023,un_comtrade,critical_inputs,2825,lithium_compounds,USD
JP,RU,987774928.567,2022,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,CN,674004759.462,2024,un_comtrade,critical_inputs,2825,lithium_compounds,USD
JP,CL,648177243.203,2023,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,US,577375021.762,2023,un_comtrade,critical_inputs,2804,silicon,USD
JP,US,570421650.247,2022,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,CL,539170342.533,2022,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,US,534950937.012,2022,un_comtrade,critical_inputs,2804,silicon,USD
JP,RU,430314866.218,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,CN,403397697.449,2022,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,CN,319522857.475,2023,un_comtrade,critical_inputs,2804,silicon,USD
JP,DE,315219629.235,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,FI,270186829.943,2022,un_comtrade,critical_inputs,8105,cobalt_unwrought,USD
JP,US,255738694.886,2023,un_comtrade,critical_inputs,2825,lithium_compounds,USD
JP,AR,227296685.616,2023,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,CN,224128204.041,2023,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,US,221664278.7,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,CN,218567082.694,2023,un_comtrade,critical_inputs,2846,rare_earth_compounds,USD
JP,US,200616327.752,2022,un_comtrade,critical_inputs,2825,lithium_compounds,USD
JP,AR,193547285.079,2022,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,VN,189549517.665,2022,un_comtrade,critical_inputs,2804,silicon,USD
JP,BE,175753411.742,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,ZA,148681176.966,2022,un_comtrade,critical_inputs,2602,manganese_ore,USD
JP,IT,146002203.819,2022,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,BE,142285626.682,2022,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,ZA,137010791.826,2022,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,ZA,133738075.092,2023,un_comtrade,critical_inputs,2602,manganese_ore,USD
JP,CN,132558970.803,2024,un_comtrade,critical_inputs,2846,rare_earth_compounds,USD
JP,CA,130312993.932,2022,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,FI,129466307.882,2023,un_comtrade,critical_inputs,8105,cobalt_unwrought,USD
JP,CA,121669624.138,2023,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,IT,117249812.141,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,DE,104174650.947,2023,un_comtrade,critical_inputs,2804,silicon,USD
JP,US,102011954.287,2023,un_comtrade,critical_inputs,8108,titanium_unwrought,USD
JP,VN,100868061.146,2023,un_comtrade,critical_inputs,2804,silicon,USD
JP,ZA,99916016.225,2023,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,DE,99268061.753,2022,un_comtrade,critical_inputs,2804,silicon,USD
JP,CN,95925269.357,2022,un_comtrade,critical_inputs,2504,natural_graphite,USD
JP,GB,89380158.028,2022,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,KR,88282247.084,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,US,87284896.535,2022,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,US,86217933.762,2023,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,NO,84279165.927,2022,un_comtrade,critical_inputs,2804,silicon,USD
JP,CH,82677500.75,2022,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,CN,73925611.246,2023,un_comtrade,critical_inputs,2504,natural_graphite,USD
JP,US,67099007.255,2022,un_comtrade,critical_inputs,8108,titanium_unwrought,USD
JP,AU,65910283.264,2022,un_comtrade,critical_inputs,2804,silicon,USD
JP,IN,59870540.28,2022,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,MG,59580125.537,2022,un_comtrade,critical_inputs,8105,cobalt_unwrought,USD
JP,QA,59546056.615,2022,un_comtrade,critical_inputs,2804,silicon,USD
JP,GB,53959217.586,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,CA,52671465.354,2022,un_comtrade,critical_inputs,8105,cobalt_unwrought,USD
JP,AU,49707666.896,2022,un_comtrade,critical_inputs,2602,manganese_ore,USD
JP,FR,48861556.103,2022,un_comtrade,critical_inputs,2846,rare_earth_compounds,USD
JP,AU,48678412.589,2023,un_comtrade,critical_inputs,2804,silicon,USD
JP,IN,46400712.343,2023,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,AU,45926291.405,2023,un_comtrade,critical_inputs,2615,niobium_tantalum_ore,USD
JP,AU,44399386.701,2022,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,AU,43552051.555,2022,un_comtrade,critical_inputs,2615,niobium_tantalum_ore,USD
JP,BR,41991064.679,2023,un_comtrade,critical_inputs,2804,silicon,USD
