reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,US,387776.0,2024,bis_lbs,financial,,,USD_MN
JP,GB,373231.0,2024,bis_lbs,financial,,,USD_MN
JP,FR,247030.0,2024,bis_lbs,financial,,,USD_MN
JP,HK,221833.718,2024,bis_lbs,financial,,,USD_MN
JP,AU,39452.301,2024,bis_lbs,financial,,,USD_MN
JP,TW,37200.01,2024,bis_lbs,financial,,,USD_MN
JP,CA,30524.257,2024,bis_lbs,financial,,,USD_MN
JP,DE,28836.0,2024,bis_lbs,financial,,,USD_MN
JP,CH,23128.778,2024,bis_lbs,financial,,,USD_MN
JP,BE,14239.644,2024,bis_lbs,financial,,,USD_MN
JP,NL,11234.473,2024,bis_lbs,financial,,,USD_MN
JP,KR,10948.302,2024,bis_lbs,financial,,,USD_MN
JP,LU,10013.169,2024,bis_lbs,financial,,,USD_MN
JP,IT,8868.406,2024,bis_lbs,financial,,,USD_MN
JP,PH,3470.715,2024,bis_lbs,financial,,,USD_MN
JP,MO,3462.045,2024,bis_lbs,financial,,,USD_MN
JP,ES,1820.355,2024,bis_lbs,financial,,,USD_MN
JP,IE,1292.183,2024,bis_lbs,financial,,,USD_MN
JP,BR,798.645,2024,bis_lbs,financial,,,USD_MN
JP,AT,660.159,2024,bis_lbs,financial,,,USD_MN
JP,ZA,387.0,2024,bis_lbs,financial,,,USD_MN
JP,DK,291.686,2024,bis_lbs,financial,,,USD_MN
JP,MX,231.764,2024,bis_lbs,financial,,,USD_MN
JP,SE,205.793,2024,bis_lbs,financial,,,USD_MN
JP,GG,193.534,2024,bis_lbs,financial,,,USD_MN
JP,CL,129.848,2024,bis_lbs,financial,,,USD_MN
JP,FI,121.821,2024,bis_lbs,financial,,,USD_MN
JP,IM,79.233,2024,bis_lbs,financial,,,USD_MN
JP,JE,61.0,2024,bis_lbs,financial,,,USD_MN
JP,GR,10.03,2024,bis_lbs,financial,,,USD_MN
