reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,CN,2727042137.391,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,US,2685103796.809,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CN,2631470568.84,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,KR,2317790509.465,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,US,2132062769.963,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CN,2115631122.63,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CN,1749282907.209,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,KR,1572825138.534,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,US,1563141951.199,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,CN,1561601430.041,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,CN,1538004772.055,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,KR,1422539175.824,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MY,1330660327.635,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,MY,1208291669.672,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MY,1183018084.688,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,TH,1069362132.867,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,SG,994743787.317,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,TH,949811810.3,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,TH,931039360.262,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,SG,909222338.982,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,SG,803208822.513,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,PH,662460149.952,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,PH,627328481.549,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,DE,570000283.087,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,PH,565172323.632,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MY,546077443.759,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,DE,521739593.536,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,DE,520705123.289,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,MY,444438989.388,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MY,412481858.305,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,PH,380067978.946,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IE,356541947.734,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,IE,353912885.407,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,PH,353566812.288,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IL,350924394.664,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,PH,339720852.532,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IL,280787012.857,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,TH,276474059.307,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,TH,251716089.064,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,TH,229234474.06,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IE,220379511.434,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,IL,155703808.339,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,FR,148343438.129,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,SG,146924716.523,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,KR,145211089.999,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,KR,130388600.065,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,VN,127575449.616,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,FR,111271409.765,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,SG,111163397.091,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,FR,110163451.977,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MX,108001485.317,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,KR,103512421.022,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,SG,102160893.431,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IT,97918703.507,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,US,96548723.017,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IT,94175547.982,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IT,92259248.066,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,DE,90244183.938,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,US,87564052.992,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,DE,84916770.262,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,HK,84611885.449,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,US,79202651.898,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,ID,71959154.538,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,ID,68835450.498,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,DE,67416836.833,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MX,66023226.984,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,VN,62887277.407,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,VN,58218599.685,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,VN,58111602.923,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,AT,51548833.55,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,ID,49540858.46,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,GB,46546956.81,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MX,45010597.741,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,ID,44514972.394,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,ID,43584645.171,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,VN,42203035.145,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,FR,40590714.321,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,ID,39907018.151,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,FR,39814302.671,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,BE,39486017.018,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,FR,38480132.108,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,GB,38188850.433,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,BE,35625416.473,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,VN,33713598.938,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MX,33539826.685,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,GB,31517581.157,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,BE,31398162.93,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,GB,30347586.749,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,HU,27964776.769,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CR,24537897.829,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,GB,23594226.328,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CZ,22895351.454,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,20018069.423,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,HU,19333516.415,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MX,19163102.006,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,NL,16747696.299,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,16487777.454,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,16469523.722,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,GB,15994801.17,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,HU,15347258.295,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,AT,15110958.512,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MX,14484672.264,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,NL,13810537.849,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,NL,12072726.252,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,AT,10941825.79,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,HK,9906537.262,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CH,9584915.854,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,AT,9062736.193,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CH,9043739.727,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,AT,8223101.699,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,7806178.996,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,FI,7666929.433,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CH,7565758.954,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,FI,7524488.895,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,6717976.148,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MT,6084428.025,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,PT,5700278.12,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,5600961.13,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,5519575.951,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,5406414.485,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,FI,5279583.09,2024,un_comtrade,technology,8542,integrated_circuits,USD
