reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,AU,39939186406.522,2022,un_comtrade,energy,2701,coal,USD
JP,SA,39843567308.784,2022,un_comtrade,energy,2709,crude_oil,USD
JP,AE,38193268100.083,2022,un_comtrade,energy,2709,crude_oil,USD
JP,SA,33190336995.545,2023,un_comtrade,energy,2709,crude_oil,USD
JP,AE,31815336042.281,2023,un_comtrade,energy,2709,crude_oil,USD
JP,AE,31447434112.361,2024,un_comtrade,energy,2709,crude_oil,USD
JP,SA,28747349248.979,2024,un_comtrade,energy,2709,crude_oil,USD
JP,AU,28573848351.64,2022,un_comtrade,energy,2711,natural_gas,USD
JP,AU,27096281451.901,2023,un_comtrade,energy,2701,coal,USD
JP,AU,20626085418.902,2023,un_comtrade,energy,2711,natural_gas,USD
JP,AU,19677276091.148,2024,un_comtrade,energy,2701,coal,USD
JP,AU,16656641234.523,2024,un_comtrade,energy,2711,natural_gas,USD
JP,MY,9794127680.344,2022,un_comtrade,energy,2711,natural_gas,USD
JP,US,9225247428.264,2022,un_comtrade,energy,2711,natural_gas,USD
JP,KW,8345287092.645,2022,un_comtrade,energy,2709,crude_oil,USD
JP,ID,8175258960.591,2022,un_comtrade,energy,2701,coal,USD
JP,US,7316538443.513,2023,un_comtrade,energy,2711,natural_gas,USD
JP,US,7285444097.33,2024,un_comtrade,energy,2711,natural_gas,USD
JP,KW,7185393454.812,2023,un_comtrade,energy,2709,crude_oil,USD
JP,QA,7070963673.699,2022,un_comtrade,energy,2709,crude_oil,USD
JP,MY,6935382923.682,2023,un_comtrade,energy,2711,natural_gas,USD
JP,KR,6452495307.844,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,MY,6226279814.732,2024,un_comtrade,energy,2711,natural_gas,USD
JP,ID,5916321987.511,2023,un_comtrade,energy,2701,coal,USD
JP,KR,5335216477.723,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,RU,5152846109.527,2022,un_comtrade,energy,2711,natural_gas,USD
JP,KW,4864837669.835,2024,un_comtrade,energy,2709,crude_oil,USD
JP,KR,4776164134.906,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,ID,4334344794.161,2024,un_comtrade,energy,2701,coal,USD
JP,RU,4166089533.757,2023,un_comtrade,energy,2711,natural_gas,USD
JP,QA,3901342691.951,2023,un_comtrade,energy,2709,crude_oil,USD
JP,PG,3724024929.673,2022,un_comtrade,energy,2711,natural_gas,USD
JP,AE,3721587123.425,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,CA,3698878886.78,2022,un_comtrade,energy,2701,coal,USD
JP,RU,3620435137.231,2024,un_comtrade,energy,2711,natural_gas,USD
JP,RU,3519863167.882,2022,un_comtrade,energy,2701,coal,USD
JP,AE,3462844644.878,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,CA,3408128380.038,2023,un_comtrade,energy,2701,coal,USD
JP,QA,3201730597.035,2022,un_comtrade,energy,2711,natural_gas,USD
JP,AE,3199180599.677,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,US,2988417752.797,2023,un_comtrade,energy,2701,coal,USD
JP,QA,2868361947.893,2024,un_comtrade,energy,2709,crude_oil,USD
JP,PG,2756759479.443,2023,un_comtrade,energy,2711,natural_gas,USD
JP,QA,2677218522.091,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,US,2611799173.508,2022,un_comtrade,energy,2701,coal,USD
JP,QA,2555156312.031,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,ID,2547724817.281,2022,un_comtrade,energy,2711,natural_gas,USD
JP,QA,2448823583.93,2023,un_comtrade,energy,2711,natural_gas,USD
JP,PG,2430075377.482,2024,un_comtrade,energy,2711,natural_gas,USD
JP,BN,2393114971.141,2022,un_comtrade,energy,2711,natural_gas,USD
JP,US,2389355272.18,2024,un_comtrade,energy,2701,coal,USD
JP,KW,2296689683.733,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,CA,2255718611.089,2024,un_comtrade,energy,2701,coal,USD
JP,ID,2209236020.727,2023,un_comtrade,energy,2711,natural_gas,USD
JP,AE,2080844406.931,2022,un_comtrade,energy,2711,natural_gas,USD
JP,ID,2070332494.623,2024,un_comtrade,energy,2711,natural_gas,USD
JP,QA,2001106316.487,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,QA,1932814520.657,2024,un_comtrade,energy,2711,natural_gas,USD
JP,OM,1922360893.155,2024,un_comtrade,energy,2711,natural_gas,USD
JP,US,1866573960.694,2024,un_comtrade,energy,2709,crude_oil,USD
JP,OM,1855792852.395,2022,un_comtrade,energy,2711,natural_gas,USD
JP,EC,1801842829.083,2022,un_comtrade,energy,2709,crude_oil,USD
JP,KW,1762216109.405,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,BN,1711008146.119,2024,un_comtrade,energy,2711,natural_gas,USD
JP,BN,1686628138.639,2023,un_comtrade,energy,2711,natural_gas,USD
JP,US,1626444676.651,2023,un_comtrade,energy,2709,crude_oil,USD
JP,OM,1401714008.128,2023,un_comtrade,energy,2711,natural_gas,USD
JP,RU,1325109633.374,2022,un_comtrade,energy,2709,crude_oil,USD
JP,CA,1312414398.24,2024,un_comtrade,energy,2711,natural_gas,USD
JP,KW,1237228880.525,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,OM,1200673429.556,2022,un_comtrade,energy,2709,crude_oil,USD
JP,CA,1181353331.955,2022,un_comtrade,energy,2711,natural_gas,USD
JP,US,1101664360.049,2022,un_comtrade,energy,2709,crude_oil,USD
JP,CA,1098004887.706,2023,un_comtrade,energy,2711,natural_gas,USD
JP,SA,1003146392.526,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,EC,993609269.293,2023,un_comtrade,energy,2709,crude_oil,USD
JP,MY,939551890.976,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,OM,935348951.713,2023,un_comtrade,energy,2709,crude_oil,USD
JP,NG,929393641.232,2022,un_comtrade,energy,2711,natural_gas,USD
JP,CN,914012773.696,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,EC,907491256.37,2024,un_comtrade,energy,2709,crude_oil,USD
JP,CN,886037247.104,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,US,809694888.266,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,RU,804631868.604,2023,un_comtrade,energy,2701,coal,USD
JP,SA,737956956.999,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,AE,732808779.46,2023,un_comtrade,energy,2711,natural_gas,USD
