reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,US,15064405.142011302,2024,imf_cpis,financial,,,USD_MN
JP,FR,1331592.3271754612,2024,imf_cpis,financial,,,USD_MN
JP,GB,1083215.1366937312,2024,imf_cpis,financial,,,USD_MN
JP,AU,946727.1650679603,2024,imf_cpis,financial,,,USD_MN
JP,LU,700872.6937744846,2024,imf_cpis,financial,,,USD_MN
JP,DE,631196.3244088668,2024,imf_cpis,financial,,,USD_MN
JP,IE,630565.6530518864,2024,imf_cpis,financial,,,USD_MN
JP,CA,592882.7160640025,2024,imf_cpis,financial,,,USD_MN
JP,NL,490489.1773159209,2024,imf_cpis,financial,,,USD_MN
JP,IT,480921.76710591756,2024,imf_cpis,financial,,,USD_MN
JP,ES,411455.5305891477,2024,imf_cpis,financial,,,USD_MN
JP,CN,293156.8336594127,2024,imf_cpis,financial,,,USD_MN
JP,IN,185943.99103600383,2024,imf_cpis,financial,,,USD_MN
JP,CH,183291.5985938206,2024,imf_cpis,financial,,,USD_MN
JP,BE,132871.94503775297,2024,imf_cpis,financial,,,USD_MN
JP,SG,123231.51948335783,2024,imf_cpis,financial,,,USD_MN
JP,DK,115241.59091308652,2024,imf_cpis,financial,,,USD_MN
JP,SE,114988.42200388762,2024,imf_cpis,financial,,,USD_MN
JP,KR,100263.82188728376,2024,imf_cpis,financial,,,USD_MN
JP,MX,98487.45005881267,2024,imf_cpis,financial,,,USD_MN
JP,TW,85326.51907775298,2024,imf_cpis,financial,,,USD_MN
JP,AT,79834.78783576124,2024,imf_cpis,financial,,,USD_MN
JP,NZ,70506.61414506222,2024,imf_cpis,financial,,,USD_MN
JP,FI,69188.22082393232,2024,imf_cpis,financial,,,USD_MN
JP,MY,59973.83823387169,2024,imf_cpis,financial,,,USD_MN
JP,PL,57267.13620595595,2024,imf_cpis,financial,,,USD_MN
JP,NO,56690.80651788701,2024,imf_cpis,financial,,,USD_MN
JP,ID,41836.01904581551,2024,imf_cpis,financial,,,USD_MN
JP,IL,38335.31465383339,2024,imf_cpis,financial,,,USD_MN
JP,PT,37773.85035205873,2024,imf_cpis,financial,,,USD_MN
JP,BR,29498.17192684328,2024,imf_cpis,financial,,,USD_MN
JP,MU,28112.557281008616,2024,imf_cpis,financial,,,USD_MN
JP,CL,27815.158753080123,2024,imf_cpis,financial,,,USD_MN
JP,TH,25880.030208011493,2024,imf_cpis,financial,,,USD_MN
JP,SA,24837.19623290138,2024,imf_cpis,financial,,,USD_MN
JP,AE,20371.9879680881,2024,imf_cpis,financial,,,USD_MN
JP,ZA,16946.31835952761,2024,imf_cpis,financial,,,USD_MN
JP,PH,12718.861538091285,2024,imf_cpis,financial,,,USD_MN
JP,HU,9130.858963606766,2024,imf_cpis,financial,,,USD_MN
JP,QA,8897.26609263964,2024,imf_cpis,financial,,,USD_MN
JP,CZ,6407.119055869774,2024,imf_cpis,financial,,,USD_MN
JP,VN,6073.714350501116,2024,imf_cpis,financial,,,USD_MN
JP,PA,5995.622806766677,2024,imf_cpis,financial,,,USD_MN
JP,EG,5871.65703676987,2024,imf_cpis,financial,,,USD_MN
JP,TR,5099.033208796681,2024,imf_cpis,financial,,,USD_MN
JP,CO,4773.260790667093,2024,imf_cpis,financial,,,USD_MN
JP,RO,4392.102427832749,2024,imf_cpis,financial,,,USD_MN
JP,EL,4025.4209207149697,2024,imf_cpis,financial,,,USD_MN
JP,KW,3184.4654187041183,2024,imf_cpis,financial,,,USD_MN
